PK_Fecha,PK_Localidad,Tasa_Mortalidad_Total,Tasa_Mortalidad_Hombres,Tasa_Mortalidad_Mujeres,Tasa_Total_100k,Tasa_Hombres_100k,Tasa_Mujeres_100k
202001,1.0,2.488378494810953e-05,4.4325820106825223e-05,6.113478385797167e-06,2.488378494810953,4.4325820106825224,0.6113478385797168
202001,2.0,1.042815392998016e-05,1.1031135379608946e-05,9.887676000632811e-06,1.0428153929980162,1.1031135379608947,0.9887676000632811
202001,3.0,2.1968554402259514e-05,2.185909626547276e-05,2.2069858458641085e-05,2.1968554402259515,2.185909626547276,2.2069858458641085
202001,4.0,3.5877299635247456e-05,1.6326530612244897e-05,5.453624712710841e-05,3.5877299635247457,1.6326530612244896,5.453624712710841
202001,5.0,2.751609691669627e-05,2.5828580874452434e-05,2.910050343870949e-05,2.751609691669627,2.5828580874452434,2.910050343870949
202001,6.0,2.1425663659931866e-05,2.4437330466019892e-05,1.873232137170545e-05,2.1425663659931864,2.4437330466019893,1.8732321371705452
202001,7.0,2.862904452353218e-05,4.2672377006571545e-05,1.6606054567495308e-05,2.862904452353218,4.267237700657154,1.6606054567495308
202001,8.0,2.8690587661482364e-05,3.195075323900761e-05,2.55608040406519e-05,2.8690587661482363,3.195075323900761,2.5560804040651903
202002,1.0,2.488378494810953e-05,3.166130007630373e-05,1.8340435157391502e-05,2.488378494810953,3.166130007630373,1.8340435157391501
202002,2.0,3.389150027243552e-05,4.4124541518435785e-05,2.471919000158203e-05,3.389150027243552,4.412454151843579,2.471919000158203
202002,3.0,1.7192781706116142e-05,1.78847151262959e-05,1.6552393843980815e-05,1.7192781706116143,1.7884715126295898,1.6552393843980815
202002,4.0,2.790456638297024e-05,4.0816326530612245e-05,1.5581784893459545e-05,2.790456638297024,4.081632653061225,1.5581784893459545
202002,5.0,3.251902362882286e-05,3.616001322423341e-05,2.910050343870949e-05,3.2519023628822863,3.6160013224233407,2.910050343870949
202002,6.0,2.6370047581454605e-05,2.61828540707356e-05,2.6537455276582724e-05,2.6370047581454603,2.61828540707356,2.6537455276582724
